Т/р,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
1,32.3,26.4,31.9,40.2,110,150,178,103,46.5,37.4,31.6,32.8
2,32.3,26.4,32.7,39.4,104.5,157,184,102,47.9,37.4,31.6,32.8
3,31.8,26.4,32.7,37.2,103,168,179,102,48.6,37.1,31.6,32.8
4,31.8,26.4,32.7,38.7,107,178,182,103,47.2,37.1,31,32.8
5,31.8,26.4,31.9,37.2,111,182,184,103,46.5,34.7,31,32.2
6,31.8,26.4,31.9,37.9,126,187,182,102,45.8,32.2,30.4,32.2
7,31.8,26.4,31.9,40.4,131,192,173,101,45.1,31.6,30.4,32.2
8,31.8,25.8,31.2,42.9,152,204,163,99.7,45.1,31.6,30.4,31.6
9,31.8,25.8,31.2,42.9,179,222,154,93.7,44.4,31,29.8,31.6
10,30.4,25.2,31.2,48.1,176,204,159,90.1,44.4,31,29.8,31
11,29,25.2,31.2,55,163,200,146,85,43.7,30.4,29.8,30.4
12,28.4,25.2,31.2,61,157,202,145,79.8,43,32.8,29.8,30.4
13,28.4,25.8,29.7,66.2,159,198,142,74.7,43,31.6,31,30.4
14,28.4,27.1,29.7,71.7,156,198,138,69.5,43.7,31,29.8,30.4
15,28.4,29,30.4,97.3,156,189,136,69.5,43,31,29.8,29.8
16,28.4,30.4,30.4,93.7,166,181,138,69.5,43,31,29.8,29.8
17,28.4,31.9,30.4,86.5,174,179,142,70.5,42.4,32.2,29.8,29.8
18,28.4,31.9,31.2,78.3,162,181,145,68.5,42.4,35.8,30.4,29.8
19,27.7,31.9,31.2,72.8,154,187,136,68.5,42.4,31.6,31.6,29.8
20,27.7,31.9,32.7,73.9,146,190,126,68.5,42.4,31.6,34,28.6
21,27.7,32.7,31.9,75,146,187,131,70.5,41.8,31.6,34.6,28.6
22,27.7,33.4,31.9,80.5,143,189,129,73.5,41.2,36.4,34.6,28.6
23,27.7,33.4,31.2,91.3,142,190,126,72.5,41.2,35.2,34.6,28.6
24,27.7,33.4,33.4,101,135,182,128,66.5,41.2,34,33,28
25,27.7,33.4,33.4,107,126,178,26,63.5,40,33.4,33.4,28
26,27.7,32.7,34.2,124,124,173,124,60.7,40,31.6,33.4,28
27,27.7,32.7,38.7,124,125,170,119,55.6,40,31.6,33.4,28
28,27.7,32.7,42.5,112,129,168,114,53.2,39.2,31,33.4,28
29,27.1,,40.2,108,135,170,107,51,38,30.4,33.4,28
30,27.1,,39.4,108,142,174,106,50,37.7,30.4,33.4,28
31,26.4,,39.4,,143,,105,49.3,,30.4,,27.4
