OBJECTID,OID_,Name,FolderPath,SymbolID,AltMode,Base,Clamped,X,Y,ORIG_FID,Aspect,Slope,Z
3,0,Lake3,Lakes.kmz/Lakes,0,0,0,-1,610971,4378344,3,122.4711914,7.473727226,3693.650928
4,0,Lake4,Lakes.kmz/Lakes,0,0,0,-1,611920,4379224,4,353.6598206,4.833589077,3532.799296
5,0,Lake5,Lakes.kmz/Lakes,0,0,0,-1,612024,4379238,5,201.8014069,5.585893154,3533.153736
6,0,Lake6,Lakes.kmz/Lakes,0,0,0,-1,611746,4380720,6,305.5376892,4.582767487,3428.000764
7,0,Lake7,Lakes.kmz/Lakes,0,0,0,-1,611485,4380876,7,290.2248535,9.524603844,3412.3416
8,0,Lake8,Lakes.kmz/Lakes,0,0,0,-1,614633,4384863,8,225,5.464132786,3561.017122
9,0,Lakes9,Lakes.kmz/Lakes,0,0,0,-1,614549,4385103,9,270,5.899780273,3551.978821
10,0,Lake10,Lakes.kmz/Lakes,0,0,0,-1,645481,4380704,10,45,4.008832455,3557.037736
11,0,Lake11,Lakes.kmz/Lakes,0,0,0,-1,647650,4378537,11,296.5650635,1.855389118,3080
12,0,Lake12,Lakes.kmz/Lakes,0,0,0,-1,680255,4396897,12,172.5078278,4.742891788,3009.361224
13,0,Lake13,Lakes.kmz/Lakes,0,0,0,-1,680545,4397187,13,168.7389221,3.949066639,3005.657592
14,0,Lake14,Lakes.kmz/Lakes,0,0,0,-1,682782,4397837,14,160.0507965,6.004439354,3326.007472
15,0,Lake15,Lakes.kmz/Lakes,0,0,0,-1,687558,4402523,15,315,1.253673911,2797
16,0,Lake16,Lakes.kmz/Lakes,0,0,0,-1,697173,4404498,16,135,4.493138313,3901.489824
17,0,Lake17,Lakes.kmz/Lakes,0,0,0,-1,697755,4404401,17,3.836906195,5.65084219,3869.901912
18,0,Lake18,Lakes.kmz/Lakes,0,0,0,-1,697822,4404681,18,249.6156158,4.8709445,3854.305824
19,0,Lake19,Lakes.kmz/Lakes,0,0,0,-1,698831,4404190,19,97.34857178,4.58175993,3886.372496
20,0,Lake20,Lakes.kmz/Lakes,0,0,0,-1,699362,4404905,20,66.50931549,4.968589306,3759.437836
21,0,Lakes21,Lakes.kmz/Lakes,0,0,0,-1,703735,4401920,21,166.209137,6.154253483,3635.202232
22,0,Lakes22,Lakes.kmz/Lakes,0,0,0,-1,705910,4401199,22,283.5574341,7.769613743,3920.224048
23,0,Lakes23,Lakes.kmz/Lakes,0,0,0,-1,705716,4401567,23,60.28796387,4.317004204,3883.39664
24,0,Lakes24,Lakes.kmz/Lakes,0,0,0,-1,708747,4402711,24,173.2457581,2.235216141,3706.36756
25,0,Lakes25,Lakes.kmz/Lakes,0,0,0,-1,708643,4402214,25,273.6729126,3.357590199,3719.012125
