"","Month","Precip","Evaporation","Ground_disch","Surf_flow","Stream_Flow"
"1","January",0.468602403582796,-0.00837323370946282,0.0784217863547723,0,0.0784217863547723
"2","February",0.327023986116667,0.0110891586489642,0.0580424826338226,0,0.0580424826338226
"3","March",0.33913996808172,0.0541496042532321,0.0445617357071902,0,0.0445617357071902
"4","April",0.299666828486667,0.104444076376485,0.149807806952265,0.00111287053729701,0.150920677489562
"5","May",0.20043021575914,0.0600458682665608,0.487207444866185,0.00422458998268925,0.491432034848875
"6","June",0.1450000783,0.251170611777574,0.471305276255773,0,0.471305276255773
"7","July",0.0262365733075269,0.242832133443922,0.367936739345261,0,0.367936739345261
"8","August",0.0470967996258065,0.155640047175653,0.277553114784481,0,0.277553114784481
"9","September",0.0734444841044444,0.0510387067354244,0.220040033673357,0,0.220040033673357
"10","October",0.185053863369892,0.00182469994558228,0.15765791914115,0,0.15765791914115
"11","November",0.317222393522222,-0.0458985232456735,0.141688183812094,0,0.141688183812094
"12","December",0.282150689995699,-0.0252854346333403,0.107504051535253,0,0.107504051535253
